date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:59:26	6170/6170	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e92c48e-181a%22	https://technext.github.io/jobfinderportal/assets/js/main.js	C:/Users/BTL%20Africa/Desktop/job-portal/technext.github.io/jobfinderportal/assets/js/main.js	(from https://technext.github.io/jobfinderportal/index.html)
14:59:26	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f5ffe42-247b%22	https://technext.github.io/jobfinderportal/assets/css/owl.video.play.png	C:/Users/BTL%20Africa/Desktop/job-portal/technext.github.io/jobfinderportal/assets/css/owl.video.play.png	(from https://technext.github.io/jobfinderportal/assets/css/owl.carousel.min.css)
14:59:26	8730/8730	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e92c48e-221a%22	https://technext.github.io/jobfinderportal/assets/fonts/Flaticon.eot	C:/Users/BTL%20Africa/Desktop/job-portal/technext.github.io/jobfinderportal/assets/fonts/Flaticon.eot	(from https://technext.github.io/jobfinderportal/assets/css/flaticon.css)
14:59:26	8730/8730	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e92c48e-221a%22	https://technext.github.io/jobfinderportal/assets/fonts/Flaticon.eot?	C:/Users/BTL%20Africa/Desktop/job-portal/technext.github.io/jobfinderportal/assets/fonts/Flaticond41d.eot	(from https://technext.github.io/jobfinderportal/assets/css/flaticon.css)
14:59:27	4536/4536	---M--	200	added ('OK')	font/woff2	etag:%225e92c48e-11b8%22	https://technext.github.io/jobfinderportal/assets/fonts/Flaticon.woff2	C:/Users/BTL%20Africa/Desktop/job-portal/technext.github.io/jobfinderportal/assets/fonts/Flaticon.woff2	(from https://technext.github.io/jobfinderportal/assets/css/flaticon.css)
14:59:27	5560/5560	---M--	200	added ('OK')	font/woff	etag:%225e92c48e-15b8%22	https://technext.github.io/jobfinderportal/assets/fonts/Flaticon.woff	C:/Users/BTL%20Africa/Desktop/job-portal/technext.github.io/jobfinderportal/assets/fonts/Flaticon.woff	(from https://technext.github.io/jobfinderportal/assets/css/flaticon.css)
14:59:27	8552/8552	---M-Z	200	added ('OK')	font/ttf	etag:W/%225e92c48e-2168%22	https://technext.github.io/jobfinderportal/assets/fonts/Flaticon.ttf	C:/Users/BTL%20Africa/Desktop/job-portal/technext.github.io/jobfinderportal/assets/fonts/Flaticon.ttf	(from https://technext.github.io/jobfinderportal/assets/css/flaticon.css)
14:59:27	51157/51157	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e92c48e-c7d5%22	https://technext.github.io/jobfinderportal/assets/fonts/Flaticon.svg	C:/Users/BTL%20Africa/Desktop/job-portal/technext.github.io/jobfinderportal/assets/fonts/Flaticon.svg	(from https://technext.github.io/jobfinderportal/assets/css/flaticon.css)
14:59:28	98620/98620	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e92c48e-1813c%22	https://technext.github.io/jobfinderportal/assets/fonts/fa-brands-400.eot	C:/Users/BTL%20Africa/Desktop/job-portal/technext.github.io/jobfinderportal/assets/fonts/fa-brands-400.eot	(from https://technext.github.io/jobfinderportal/assets/css/fontawesome-all.min.css)
14:59:28	98620/98620	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e92c48e-1813c%22	https://technext.github.io/jobfinderportal/assets/fonts/fa-brands-400.eot?	C:/Users/BTL%20Africa/Desktop/job-portal/technext.github.io/jobfinderportal/assets/fonts/fa-brands-400d41d.eot	(from https://technext.github.io/jobfinderportal/assets/css/fontawesome-all.min.css)
14:59:28	54420/54420	---M--	200	added ('OK')	font/woff2	etag:%225e92c48e-d494%22	https://technext.github.io/jobfinderportal/assets/fonts/fa-brands-400.woff2	C:/Users/BTL%20Africa/Desktop/job-portal/technext.github.io/jobfinderportal/assets/fonts/fa-brands-400.woff2	(from https://technext.github.io/jobfinderportal/assets/css/fontawesome-all.min.css)
14:59:28	63712/63712	---M--	200	added ('OK')	font/woff	etag:%225e92c48e-f8e0%22	https://technext.github.io/jobfinderportal/assets/fonts/fa-brands-400.woff	C:/Users/BTL%20Africa/Desktop/job-portal/technext.github.io/jobfinderportal/assets/fonts/fa-brands-400.woff	(from https://technext.github.io/jobfinderportal/assets/css/fontawesome-all.min.css)
14:59:29	98384/98384	---M-Z	200	added ('OK')	font/ttf	etag:W/%225e92c48e-18050%22	https://technext.github.io/jobfinderportal/assets/fonts/fa-brands-400.ttf	C:/Users/BTL%20Africa/Desktop/job-portal/technext.github.io/jobfinderportal/assets/fonts/fa-brands-400.ttf	(from https://technext.github.io/jobfinderportal/assets/css/fontawesome-all.min.css)
